what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1304807391660
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1304807391661
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1304807391661
started,bundle,org.eclipse.dltk.core,2.0.1.v20100806-1245,"org.eclipse.dltk.core",1304807391662
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100806-1245,"org.eclipse.dltk.launching",1304807391663
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1304807391664
started,bundle,org.eclipse.php.core,2.2.1.v20101001-2300,"org.eclipse.php.core",1304807391665
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1304807391666
started,bundle,org.eclipse.php.server.core,2.2.0.v20101001-2300,"org.eclipse.php.server.core",1304807391667
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1304807391668
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1304807391671
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1304807391672
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1304807391674
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1304807391675
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1304807391679
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1304807391680
started,bundle,com.python.pydev.analysis,2.0.0.2011040403,"com.python.pydev.analysis",1304807391681
started,bundle,org.python.pydev,2.0.0.2011040403,"org.python.pydev",1304807391682
started,bundle,org.python.pydev.core,2.0.0.2011040403,"org.python.pydev.core",1304807391683
os,sysinfo,,,"win32",1304807391689
arch,sysinfo,,,"x86_64",1304807391689
ws,sysinfo,,,"win32",1304807391689
locale,sysinfo,,,"en_CA",1304807391689
processors,sysinfo,,,"4",1304807391689
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1304807391689
java.runtime.version,sysinfo,,,"1.5.0_15-b04",1304807391689
java.specification.name,sysinfo,,,"Java Platform API Specification",1304807391689
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304807391689
java.specification.version,sysinfo,,,"1.5",1304807391689
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304807391689
java.version,sysinfo,,,"1.5.0_15",1304807391689
java.vm.info,sysinfo,,,"mixed mode",1304807391689
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1304807391689
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304807391689
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304807391689
java.vm.specification.version,sysinfo,,,"1.0",1304807391689
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304807391689
java.vm.version,sysinfo,,,"1.5.0_15-b04",1304807391689
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1304807391833
started,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1304807391865
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1304807392016
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1304807392020
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1304807394315
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304807394684
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1304807401577
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1304807401794
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1304807401913
opened,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1304807401982
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1304807402191
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1304807402197
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1304807403055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304807407090
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1304807414804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304807421232
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304807421673
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304807424979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304807427047
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304807470214
