what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1304822776542
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1304822776542
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1304822776544
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1304822776547
started,bundle,org.eclipse.dltk.core,2.0.1.v20100806-1245,"org.eclipse.dltk.core",1304822776549
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100806-1245,"org.eclipse.dltk.launching",1304822776550
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1304822776553
started,bundle,org.eclipse.php.core,2.2.1.v20101001-2300,"org.eclipse.php.core",1304822776575
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1304822776575
started,bundle,org.eclipse.php.server.core,2.2.0.v20101001-2300,"org.eclipse.php.server.core",1304822776576
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1304822776576
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1304822776577
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1304822776579
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1304822776581
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1304822776582
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1304822776589
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1304822776590
started,bundle,com.python.pydev.analysis,2.0.0.2011040403,"com.python.pydev.analysis",1304822776591
started,bundle,org.python.pydev,2.0.0.2011040403,"org.python.pydev",1304822776593
started,bundle,org.python.pydev.core,2.0.0.2011040403,"org.python.pydev.core",1304822776593
os,sysinfo,,,"win32",1304822776601
arch,sysinfo,,,"x86_64",1304822776601
ws,sysinfo,,,"win32",1304822776601
locale,sysinfo,,,"en_CA",1304822776601
processors,sysinfo,,,"4",1304822776601
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1304822776601
java.runtime.version,sysinfo,,,"1.5.0_15-b04",1304822776601
java.specification.name,sysinfo,,,"Java Platform API Specification",1304822776601
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304822776601
java.specification.version,sysinfo,,,"1.5",1304822776601
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304822776601
java.version,sysinfo,,,"1.5.0_15",1304822776601
java.vm.info,sysinfo,,,"mixed mode",1304822776601
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1304822776601
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304822776601
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304822776601
java.vm.specification.version,sysinfo,,,"1.0",1304822776601
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304822776601
java.vm.version,sysinfo,,,"1.5.0_15-b04",1304822776601
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1304822776715
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1304822776880
started,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1304822776906
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1304822776996
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1304822779260
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304822781969
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1304822788840
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1304822789063
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1304822789186
opened,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1304822789260
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1304822789465
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1304822789471
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1304822790162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304822809079
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304822812818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304822813821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304822816179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304822933306
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304822945425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304822946973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304822972309
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304822980578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304822981862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823097949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823108409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823116531
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304823120196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823133212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304823157369
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304823158303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1304823161250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304823163075
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823167717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823168269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823168669
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823169082
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304823169854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823170384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823170777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1304823189763
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1304823190935
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304823200997
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304823204879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823215565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823218493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823239251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823242533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823245283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823247042
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304823267055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304823282867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823291524
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823294231
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304823296168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823299236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823323233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1304823334296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304823337700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304823342083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823345525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823360184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823364405
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823392623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304823401725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823404316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823424840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823427651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823428962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823430460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823432530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304823434664
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304823435099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304823435500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304823435982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304823436349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823446782
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823460484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823468146
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823471207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304823521085
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1304823530634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823544271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823546215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823548455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304823549997
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1304823551434
