what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863353086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863355823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863382254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863416312
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303863436385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863440474
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863450532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1303863450545
opened,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1303863450648
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1303863450733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863453814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863461113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303863463710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303863465146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863476696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863479175
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1303863480974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863484398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863484771
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863487058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863487215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303863514087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863555999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863560999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863590215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863702279
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303863704493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863714760
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863717644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863721163
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.gotoLastEditPosition",1303863726653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863754212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863754677
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303863755124
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303863756124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863757073
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863762519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303863768695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863769995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863774953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863781941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863790032
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1303863807047
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303863809152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303863812468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303863813274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863814679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863817705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303863819902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303863820356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863821771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863824859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863829623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863838293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863849768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863852290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303863875400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303864312843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303864315758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303864317811
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303864320190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303864326364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303864379328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1303864397141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303864398515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303864399614
