what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1305415645551
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1305415645552
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1305415645553
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1305415645554
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1305415645568
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1305415645569
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1305415645570
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1305415645572
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1305415645573
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1305415645576
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1305415645577
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1305415645577
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1305415645577
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1305415645579
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1305415645586
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1305415645592
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1305415645593
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1305415645594
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1305415645595
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1305415645597
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1305415645597
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1305415645598
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1305415645599
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1305415645600
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1305415645601
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1305415645601
started,bundle,com.python.pydev.analysis,2.0.0.2011040403,"com.python.pydev.analysis",1305415645609
started,bundle,org.python.pydev,2.0.0.2011040403,"org.python.pydev",1305415645615
started,bundle,org.python.pydev.core,2.0.0.2011040403,"org.python.pydev.core",1305415645624
os,sysinfo,,,"win32",1305415645629
arch,sysinfo,,,"x86_64",1305415645629
ws,sysinfo,,,"win32",1305415645629
locale,sysinfo,,,"en_CA",1305415645629
processors,sysinfo,,,"4",1305415645629
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1305415645629
java.runtime.version,sysinfo,,,"1.5.0_15-b04",1305415645629
java.specification.name,sysinfo,,,"Java Platform API Specification",1305415645629
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305415645629
java.specification.version,sysinfo,,,"1.5",1305415645629
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1305415645629
java.version,sysinfo,,,"1.5.0_15",1305415645629
java.vm.info,sysinfo,,,"mixed mode",1305415645629
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1305415645629
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1305415645629
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305415645629
java.vm.specification.version,sysinfo,,,"1.0",1305415645629
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1305415645629
java.vm.version,sysinfo,,,"1.5.0_15-b04",1305415645629
